"","ACC","BLCA","BRCA","CESC","CHOL","COAD","DLBC","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LAML","LGG","LIHC","LUAD","LUSC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCM","STAD","TGCT","THCA","THYM","UCEC","UCS","UVM"
"ACC",76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"BLCA",1,368,3,4,0,0,0,0,0,0,0,0,4,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"BRCA",0,2,1086,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"CESC",0,5,1,279,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CHOL",0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COAD",0,1,0,3,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,94,0,0,0,0,0,0,0,0,0
"DLBC",0,1,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"ESCA",0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"GBM",0,0,0,0,0,0,0,0,146,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HNSC",0,8,0,3,0,0,0,0,0,512,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"KICH",0,0,0,0,0,0,0,0,0,0,61,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRC",0,0,0,0,0,0,0,0,0,0,2,499,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRP",0,0,0,0,0,0,0,0,0,0,1,16,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAML",0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LGG",0,0,0,0,0,0,0,0,4,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIHC",0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,362,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUAD",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,495,34,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"LUSC",0,12,0,4,0,1,0,0,0,0,0,0,0,0,0,0,13,451,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0
"MESO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAAD",0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,1,0,0,0,0,0,0
"PCPG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,177,0,0,0,0,0,0,0,0,0,0,0
"PRAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0
"READ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SARC",2,8,3,0,0,0,0,0,3,5,1,4,0,0,0,4,1,0,6,2,1,0,0,0,255,4,0,0,0,0,0,3,0
"SKCM",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,460,0,0,0,1,2,0,0
"STAD",0,0,0,0,1,1,0,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,405,0,0,0,0,0,0
"TGCT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0
"THCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0
"THYM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0
"UCEC",0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,171,17,0
"UCS",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0
"UVM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,80
